,CCAA,Año,Total
24,AndalucÌa,2021,8472407
25,AndalucÌa,2020,8464411
26,AndalucÌa,2019,8414240
27,AndalucÌa,2018,8384408
28,AndalucÌa,2017,8379820
29,AndalucÌa,2016,8388107
30,AndalucÌa,2015,8399043
31,AndalucÌa,2014,8402305
32,AndalucÌa,2013,8440300
33,AndalucÌa,2012,8449985
34,AndalucÌa,2011,8424102
35,AndalucÌa,2010,8370975
36,AndalucÌa,2009,8302923
37,AndalucÌa,2008,8202220
38,AndalucÌa,2007,8059461
39,AndalucÌa,2006,7975672
40,AndalucÌa,2005,7849799
41,AndalucÌa,2004,7687518
42,AndalucÌa,2003,7606848
43,AndalucÌa,2002,7478432
44,AndalucÌa,2001,7403968
45,AndalucÌa,2000,7340052
46,AndalucÌa,1999,7305117
47,AndalucÌa,1998,7236459
48,AragÛn,2021,1326261
49,AragÛn,2020,1329391
50,AragÛn,2019,1319291
51,AragÛn,2018,1308728
52,AragÛn,2017,1308750
53,AragÛn,2016,1308563
54,AragÛn,2015,1317847
55,AragÛn,2014,1325385
56,AragÛn,2013,1347150
57,AragÛn,2012,1349467
58,AragÛn,2011,1346293
59,AragÛn,2010,1347095
60,AragÛn,2009,1345473
61,AragÛn,2008,1326918
62,AragÛn,2007,1296655
63,AragÛn,2006,1277471
64,AragÛn,2005,1269027
65,AragÛn,2004,1249584
66,AragÛn,2003,1230090
67,AragÛn,2002,1217514
68,AragÛn,2001,1199753
69,AragÛn,2000,1189909
70,AragÛn,1999,1186849
71,AragÛn,1998,1183234
72,Asturias,2021,1011792
73,Asturias,2020,1018784
74,Asturias,2019,1022800
75,Asturias,2018,1028244
76,Asturias,2017,1034960
77,Asturias,2016,1042608
78,Asturias,2015,1051229
79,Asturias,2014,1061756
80,Asturias,2013,1068165
81,Asturias,2012,1077360
82,Asturias,2011,1081487
83,Asturias,2010,1084341
84,Asturias,2009,1085289
85,Asturias,2008,1080138
86,Asturias,2007,1074862
87,Asturias,2006,1076896
88,Asturias,2005,1076635
89,Asturias,2004,1073761
90,Asturias,2003,1075381
91,Asturias,2002,1073971
92,Asturias,2001,1075329
93,Asturias,2000,1076567
94,Asturias,1999,1084314
95,Asturias,1998,1081834
96,Islas Baleares,2021,1173008
97,Islas Baleares,2020,1171543
98,Islas Baleares,2019,1149460
99,Islas Baleares,2018,1128908
100,Islas Baleares,2017,1115999
101,Islas Baleares,2016,1107220
102,Islas Baleares,2015,1104479
103,Islas Baleares,2014,1103442
104,Islas Baleares,2013,1111674
105,Islas Baleares,2012,1119439
106,Islas Baleares,2011,1113114
107,Islas Baleares,2010,1106049
108,Islas Baleares,2009,1095426
109,Islas Baleares,2008,1072844
110,Islas Baleares,2007,1030650
111,Islas Baleares,2006,1001062
112,Islas Baleares,2005,983131
113,Islas Baleares,2004,955045
114,Islas Baleares,2003,947361
115,Islas Baleares,2002,916968
116,Islas Baleares,2001,878627
117,Islas Baleares,2000,845630
118,Islas Baleares,1999,821820
119,Islas Baleares,1998,796483
120,Canarias,2021,2172944
121,Canarias,2020,2175952
122,Canarias,2019,2153389
123,Canarias,2018,2127685
124,Canarias,2017,2108121
125,Canarias,2016,2101924
126,Canarias,2015,2100306
127,Canarias,2014,2104815
128,Canarias,2013,2118679
129,Canarias,2012,2118344
130,Canarias,2011,2126769
131,Canarias,2010,2118519
132,Canarias,2009,2103992
133,Canarias,2008,2075968
134,Canarias,2007,2025951
135,Canarias,2006,1995833
136,Canarias,2005,1968280
137,Canarias,2004,1915540
138,Canarias,2003,1894868
139,Canarias,2002,1843755
140,Canarias,2001,1781366
141,Canarias,2000,1716276
142,Canarias,1999,1672689
143,Canarias,1998,1630015
144,Cantabria,2021,584507
145,Cantabria,2020,582905
146,Cantabria,2019,581078
147,Cantabria,2018,580229
148,Cantabria,2017,580295
149,Cantabria,2016,582206
150,Cantabria,2015,585179
151,Cantabria,2014,588656
152,Cantabria,2013,591888
153,Cantabria,2012,593861
154,Cantabria,2011,593121
155,Cantabria,2010,592250
156,Cantabria,2009,589235
157,Cantabria,2008,582138
158,Cantabria,2007,572824
159,Cantabria,2006,568091
160,Cantabria,2005,562309
161,Cantabria,2004,554784
162,Cantabria,2003,549690
163,Cantabria,2002,542275
164,Cantabria,2001,537606
165,Cantabria,2000,531159
166,Cantabria,1999,528478
167,Cantabria,1998,527137
168,Castilla y LeÛn,2021,2383139
169,Castilla y LeÛn,2020,2394918
170,Castilla y LeÛn,2019,2399548
171,Castilla y LeÛn,2018,2409164
172,Castilla y LeÛn,2017,2425801
173,Castilla y LeÛn,2016,2447519
174,Castilla y LeÛn,2015,2472052
175,Castilla y LeÛn,2014,2494790
176,Castilla y LeÛn,2013,2519875
177,Castilla y LeÛn,2012,2546078
178,Castilla y LeÛn,2011,2558463
179,Castilla y LeÛn,2010,2559515
180,Castilla y LeÛn,2009,2563521
181,Castilla y LeÛn,2008,2557330
182,Castilla y LeÛn,2007,2528417
183,Castilla y LeÛn,2006,2523020
184,Castilla y LeÛn,2005,2510849
185,Castilla y LeÛn,2004,2493918
186,Castilla y LeÛn,2003,2487646
187,Castilla y LeÛn,2002,2480369
188,Castilla y LeÛn,2001,2479425
189,Castilla y LeÛn,2000,2479118
190,Castilla y LeÛn,1999,2488062
191,Castilla y LeÛn,1998,2484603
192,Castilla  La Mancha,2021,2049562
193,Castilla  La Mancha,2020,2045221
194,Castilla  La Mancha,2019,2032863
195,Castilla  La Mancha,2018,2026807
196,Castilla  La Mancha,2017,2031479
197,Castilla  La Mancha,2016,2041631
198,Castilla  La Mancha,2015,2059191
199,Castilla  La Mancha,2014,2078611
200,Castilla  La Mancha,2013,2100998
201,Castilla  La Mancha,2012,2121888
202,Castilla  La Mancha,2011,2115334
203,Castilla  La Mancha,2010,2098373
204,Castilla  La Mancha,2009,2081313
205,Castilla  La Mancha,2008,2043100
206,Castilla  La Mancha,2007,1977304
207,Castilla  La Mancha,2006,1932261
208,Castilla  La Mancha,2005,1894667
209,Castilla  La Mancha,2004,1848881
210,Castilla  La Mancha,2003,1815781
211,Castilla  La Mancha,2002,1782038
212,Castilla  La Mancha,2001,1755053
213,Castilla  La Mancha,2000,1734261
214,Castilla  La Mancha,1999,1726199
215,Castilla  La Mancha,1998,1716152
216,CataluÒa,2021,7763362
217,CataluÒa,2020,7780479
218,CataluÒa,2019,7675217
219,CataluÒa,2018,7600065
220,CataluÒa,2017,7555830
221,CataluÒa,2016,7522596
222,CataluÒa,2015,7508106
223,CataluÒa,2014,7518903
224,CataluÒa,2013,7553650
225,CataluÒa,2012,7570908
226,CataluÒa,2011,7539618
227,CataluÒa,2010,7512381
228,CataluÒa,2009,7475420
229,CataluÒa,2008,7364078
230,CataluÒa,2007,7210508
231,CataluÒa,2006,7134697
232,CataluÒa,2005,6995206
233,CataluÒa,2004,6813319
234,CataluÒa,2003,6704146
235,CataluÒa,2002,6506440
236,CataluÒa,2001,6361365
237,CataluÒa,2000,6261999
238,CataluÒa,1999,6207533
239,CataluÒa,1998,6147610
240,Comunitat Valenciana,2021,5058138
241,Comunitat Valenciana,2020,5057353
242,Comunitat Valenciana,2019,5003769
243,Comunitat Valenciana,2018,4963703
244,Comunitat Valenciana,2017,4941509
245,Comunitat Valenciana,2016,4959968
246,Comunitat Valenciana,2015,4980689
247,Comunitat Valenciana,2014,5004844
248,Comunitat Valenciana,2013,5113815
249,Comunitat Valenciana,2012,5129266
250,Comunitat Valenciana,2011,5117190
251,Comunitat Valenciana,2010,5111706
252,Comunitat Valenciana,2009,5094675
253,Comunitat Valenciana,2008,5029601
254,Comunitat Valenciana,2007,4885029
255,Comunitat Valenciana,2006,4806908
256,Comunitat Valenciana,2005,4692449
257,Comunitat Valenciana,2004,4543304
258,Comunitat Valenciana,2003,4470885
259,Comunitat Valenciana,2002,4326708
260,Comunitat Valenciana,2001,4202608
261,Comunitat Valenciana,2000,4120729
262,Comunitat Valenciana,1999,4066474
263,Comunitat Valenciana,1998,4023441
264,Extremadura,2021,1059501
265,Extremadura,2020,1063987
266,Extremadura,2019,1067710
267,Extremadura,2018,1072863
268,Extremadura,2017,1079920
269,Extremadura,2016,1087778
270,Extremadura,2015,1092997
271,Extremadura,2014,1099632
272,Extremadura,2013,1104004
273,Extremadura,2012,1108130
274,Extremadura,2011,1109367
275,Extremadura,2010,1107220
276,Extremadura,2009,1102410
277,Extremadura,2008,1097744
278,Extremadura,2007,1089990
279,Extremadura,2006,1086373
280,Extremadura,2005,1083879
281,Extremadura,2004,1075286
282,Extremadura,2003,1073904
283,Extremadura,2002,1073050
284,Extremadura,2001,1073381
285,Extremadura,2000,1069420
286,Extremadura,1999,1073574
287,Extremadura,1998,1069419
288,Galicia,2021,2695645
289,Galicia,2020,2701819
290,Galicia,2019,2699499
291,Galicia,2018,2701743
292,Galicia,2017,2708339
293,Galicia,2016,2718525
294,Galicia,2015,2732347
295,Galicia,2014,2748695
296,Galicia,2013,2765940
297,Galicia,2012,2781498
298,Galicia,2011,2795422
299,Galicia,2010,2797653
300,Galicia,2009,2796089
301,Galicia,2008,2784169
302,Galicia,2007,2772533
303,Galicia,2006,2767524
304,Galicia,2005,2762198
305,Galicia,2004,2750985
306,Galicia,2003,2751094
307,Galicia,2002,2737370
308,Galicia,2001,2732926
309,Galicia,2000,2731900
310,Galicia,1999,2730337
311,Galicia,1998,2724544
312,Madrid,2021,6751251
313,Madrid,2020,6779888
314,Madrid,2019,6663394
315,Madrid,2018,6578079
316,Madrid,2017,6507184
317,Madrid,2016,6466996
318,Madrid,2015,6436996
319,Madrid,2014,6454440
320,Madrid,2013,6495551
321,Madrid,2012,6498560
322,Madrid,2011,6489680
323,Madrid,2010,6458684
324,Madrid,2009,6386932
325,Madrid,2008,6271638
326,Madrid,2007,6081689
327,Madrid,2006,6008183
328,Madrid,2005,5964143
329,Madrid,2004,5804829
330,Madrid,2003,5718942
331,Madrid,2002,5527152
332,Madrid,2001,5372433
333,Madrid,2000,5205408
334,Madrid,1999,5145325
335,Madrid,1998,5091336
336,Murcia,2021,1518486
337,Murcia,2020,1511251
338,Murcia,2019,1493898
339,Murcia,2018,1478509
340,Murcia,2017,1470273
341,Murcia,2016,1464847
342,Murcia,2015,1467288
343,Murcia,2014,1466818
344,Murcia,2013,1472049
345,Murcia,2012,1474449
346,Murcia,2011,1470069
347,Murcia,2010,1461979
348,Murcia,2009,1446520
349,Murcia,2008,1426109
350,Murcia,2007,1392117
351,Murcia,2006,1370306
352,Murcia,2005,1335792
353,Murcia,2004,1294694
354,Murcia,2003,1269230
355,Murcia,2002,1226993
356,Murcia,2001,1190378
357,Murcia,2000,1149328
358,Murcia,1999,1131128
359,Murcia,1998,1115068
360,Navarra,2021,661537
361,Navarra,2020,661197
362,Navarra,2019,654214
363,Navarra,2018,647554
364,Navarra,2017,643234
365,Navarra,2016,640647
366,Navarra,2015,640476
367,Navarra,2014,640790
368,Navarra,2013,644477
369,Navarra,2012,644566
370,Navarra,2011,642051
371,Navarra,2010,636924
372,Navarra,2009,630578
373,Navarra,2008,620377
374,Navarra,2007,605876
375,Navarra,2006,601874
376,Navarra,2005,593472
377,Navarra,2004,584734
378,Navarra,2003,578210
379,Navarra,2002,569628
380,Navarra,2001,556263
381,Navarra,2000,543757
382,Navarra,1999,538009
383,Navarra,1998,530819
384,PaÌs Vasco,2021,2213993
385,PaÌs Vasco,2020,2220504
386,PaÌs Vasco,2019,2207776
387,PaÌs Vasco,2018,2199088
388,PaÌs Vasco,2017,2194158
389,PaÌs Vasco,2016,2189534
390,PaÌs Vasco,2015,2189257
391,PaÌs Vasco,2014,2188985
392,PaÌs Vasco,2013,2191682
393,PaÌs Vasco,2012,2193093
394,PaÌs Vasco,2011,2184606
395,PaÌs Vasco,2010,2178339
396,PaÌs Vasco,2009,2172175
397,PaÌs Vasco,2008,2157112
398,PaÌs Vasco,2007,2141860
399,PaÌs Vasco,2006,2133684
400,PaÌs Vasco,2005,2124846
401,PaÌs Vasco,2004,2115279
402,PaÌs Vasco,2003,2112204
403,PaÌs Vasco,2002,2108281
404,PaÌs Vasco,2001,2101478
405,PaÌs Vasco,2000,2098596
406,PaÌs Vasco,1999,2100441
407,PaÌs Vasco,1998,2098628
408,La Rioja,2021,319796
409,La Rioja,2020,319914
410,La Rioja,2019,316798
411,La Rioja,2018,315675
412,La Rioja,2017,315381
413,La Rioja,2016,315794
414,La Rioja,2015,317053
415,La Rioja,2014,319002
416,La Rioja,2013,322027
417,La Rioja,2012,323609
418,La Rioja,2011,322955
419,La Rioja,2010,322415
420,La Rioja,2009,321702
421,La Rioja,2008,317501
422,La Rioja,2007,308968
423,La Rioja,2006,306377
424,La Rioja,2005,301084
425,La Rioja,2004,293553
426,La Rioja,2003,287390
427,La Rioja,2002,281614
428,La Rioja,2001,270400
429,La Rioja,2000,264178
430,La Rioja,1999,265178
431,La Rioja,1998,263644
432,Ceuta,2021,83517
433,Ceuta,2020,84202
434,Ceuta,2019,84777
435,Ceuta,2018,85144
436,Ceuta,2017,84959
437,Ceuta,2016,84519
438,Ceuta,2015,84263
439,Ceuta,2014,84963
440,Ceuta,2013,84180
441,Ceuta,2012,84018
442,Ceuta,2011,82376
443,Ceuta,2010,80579
444,Ceuta,2009,78674
445,Ceuta,2008,77389
446,Ceuta,2007,76603
447,Ceuta,2006,75861
448,Ceuta,2005,75276
449,Ceuta,2004,74654
450,Ceuta,2003,74931
451,Ceuta,2002,76152
452,Ceuta,2001,75694
453,Ceuta,2000,75241
454,Ceuta,1999,73704
455,Ceuta,1998,72117
456,Melilla,2021,86261
457,Melilla,2020,87076
458,Melilla,2019,86487
459,Melilla,2018,86384
460,Melilla,2017,86120
461,Melilla,2016,86026
462,Melilla,2015,85584
463,Melilla,2014,84509
464,Melilla,2013,83679
465,Melilla,2012,80802
466,Melilla,2011,78476
467,Melilla,2010,76034
468,Melilla,2009,73460
469,Melilla,2008,71448
470,Melilla,2007,69440
471,Melilla,2006,66871
472,Melilla,2005,65488
473,Melilla,2004,68016
474,Melilla,2003,68463
475,Melilla,2002,69184
476,Melilla,2001,68789
477,Melilla,2000,66263
478,Melilla,1999,56929
479,Melilla,1998,60108
