,A̱o,Valor
0,1960,3032019978
1,1961,3073077563
2,1962,3126066253
3,1963,3191186048
4,1964,3256700083
5,1965,3323623700
6,1966,3393699205
7,1967,3463147267
8,1968,3533536526
9,1969,3608235815
10,1970,3683676306
11,1971,3761307048
12,1972,3837726171
13,1973,3913217944
14,1974,3989385034
15,1975,4063806523
16,1976,4136393107
17,1977,4208770941
18,1978,4282341460
19,1979,4357793599
20,1980,4434021975
21,1981,4512268962
22,1982,4593454253
23,1983,4675367633
24,1984,4756998073
25,1985,4840155168
26,1986,4925801334
27,1987,5013576387
28,1988,5102293348
29,1989,5190965222
30,1990,5281340078
31,1991,5369210095
32,1992,5453393960
33,1993,5538448726
34,1994,5622575421
35,1995,5707533023
36,1996,5790454220
37,1997,5873071768
38,1998,5954810550
39,1999,6035284135
40,2000,6115108363
41,2001,6194460444
42,2002,6273526441
43,2003,6352677699
44,2004,6432374971
45,2005,6512602867
46,2006,6593623202
47,2007,6675130418
48,2008,6757887172
49,2009,6840591577
50,2010,6922947261
51,2011,7004011262
52,2012,7086993625
53,2013,7170961674
54,2014,7255653881
55,2015,7340548192
56,2016,7426103221
57,2017,7510990456
58,2018,7594270356
