,CCAA,A̱o,Total
0,Total,2021,47385107
1,Total,2020,47450795
2,Total,2019,47026208
3,Total,2018,46722980
4,Total,2017,46572132
5,Total,2016,46557008
6,Total,2015,46624382
7,Total,2014,46771341
8,Total,2013,47129783
9,Total,2012,47265321
10,Total,2011,47190493
11,Total,2010,47021031
12,Total,2009,46745807
13,Total,2008,46157822
14,Total,2007,45200737
15,Total,2006,44708964
16,Total,2005,44108530
17,Total,2004,43197684
18,Total,2003,42717064
19,Total,2002,41837894
20,Total,2001,41116842
21,Total,2000,40499791
22,Total,1999,40202160
23,Total,1998,39852651
